# Comments starts with '#' and the line will be ignored when reading,,,,,
# Command, start with pipe '|',,,,
# Empty lines will be ignored when reading,,,,,
# CSV format for data plot,,,,,
# Double quote is not allowed, use single quote instead
#  Type of plot,,,,,
| type=trace
# Plot data specification
| x = time
| y = voltage
| xunit = ms
| yunit = mV
# Data Table: No meta parameters should be defined beyond data table,,,,,
time,voltage,current
33,-53.8641,3.4376
33.1,-53.8391,2.5001
33.2,-53.8454,2.5001
33.3,-53.8266,3.4376
33.4,-53.8329,3.4376
33.5,-53.8204,3.1251
33.6,-53.8141,1.8751
33.7,-53.8141,3.4376
33.8,-53.8016,1.25
33.9,-53.8141,2.1876
34,-53.8266,0.62502
34.1,-53.7829,-2.1876
34.2,-53.7829,1.25
34.3,-53.7391,0.31251
34.4,-53.7079,0.62502
34.5,-53.6891,1.5625
34.6,-53.6704,2.8126
34.7,-53.6579,2.5001
34.8,-53.6329,4.0626
34.9,-53.6329,3.1251
35,-53.6329,5.0002
35.1,-53.6391,2.8126
35.2,-53.6204,2.1876
35.3,-53.6079,2.1876
35.4,-53.6141,3.7501
35.5,-53.6016,2.1876
35.6,-53.5766,0
35.7,-53.5579,2.1876
35.8,-53.5579,3.1251
35.9,-53.5641,4.0626
36,-53.5641,2.1876
36.1,-53.5704,4.3751
36.2,-53.5516,0.62502
36.3,-53.5391,2.5001
36.4,-53.5391,3.1251
36.5,-53.5329,1.8751
36.6,-53.5266,1.5625
36.7,-53.5016,1.25
36.8,-53.4891,1.5625
36.9,-53.4766,1.8751
37,-53.4579,2.1876
37.1,-53.4391,3.4376
37.2,-53.4266,2.8126
37.3,-53.4016,0.93753
37.4,-53.3829,2.1876
37.5,-53.3454,1.5625
37.6,-53.3016,0.93753
37.7,-53.3016,4.0626
37.8,-53.2829,3.1251
37.9,-53.2954,3.1251
38,-53.2579,1.25
38.1,-53.2391,3.1251
38.2,-53.2454,3.1251
38.3,-53.2266,3.7501
38.4,-53.2266,3.1251
38.5,-53.2391,3.4376
38.6,-53.2266,1.8751
38.7,-53.2141,1.8751
38.8,-53.2141,1.25
38.9,-53.1891,0.93753
39,-53.1579,1.5625
39.1,-53.1141,0
39.2,-53.0829,2.1876
39.3,-53.0516,1.5625
39.4,-53.0579,3.1251
39.5,-53.0579,5.3127
39.6,-53.0579,3.4376
39.7,-53.0704,3.1251
39.8,-53.0704,1.5625
39.9,-53.0704,2.5001
40,-53.0516,0.93753
40.1,-53.0204,0
40.2,-53.0204,3.4376
40.3,-53.0079,1.8751
40.4,-52.9891,0
40.5,-52.9704,2.8126
40.6,-52.9579,1.8751
40.7,-52.9204,0.62502
40.8,-52.8891,0.62502
40.9,-52.8579,1.8751
41,-52.8454,2.8126
41.1,-52.8454,4.3751
41.2,-52.8454,4.3751
41.3,-52.8579,4.0626
41.4,-52.8641,1.8751
41.5,-52.8579,2.5001
41.6,-52.8766,4.0626
41.7,-52.8766,3.4376
41.8,-52.9016,2.8126
41.9,-52.8954,1.8751
42,-52.8891,2.1876
42.1,-52.8766,0.93753
42.2,-52.8766,2.5001
42.3,-52.8641,1.8751
42.4,-52.8579,1.8751
42.5,-52.8641,1.8751
42.6,-52.8391,1.25
42.7,-52.8266,2.1876
42.8,-52.8204,2.5001
42.9,-52.8141,3.1251
43,-52.8079,0.31251
43.1,-52.7954,1.8751
43.2,-52.7891,4.0626
43.3,-52.7704,1.8751
43.4,-52.7766,2.5001
43.5,-52.7704,1.8751
43.6,-52.7579,2.1876
43.7,-52.7454,2.5001
43.8,-52.7579,2.5001
43.9,-52.7391,2.5001
44,-52.7329,1.25
44.1,-52.7266,1.8751
44.2,-52.7391,3.7501
44.3,-52.7329,2.5001
44.4,-52.7329,1.5625
44.5,-52.7141,1.8751
44.6,-52.6954,1.25
44.7,-52.6954,2.8126
44.8,-52.6954,3.7501
44.9,-52.6829,0.31251
45,-52.6391,0
45.1,-52.6204,0.93753
45.2,-52.6079,2.8126
45.3,-52.5766,2.5001
45.4,-52.5329,1.5625
45.5,-52.5079,2.8126
45.6,-52.5141,1.5625
45.7,-52.5016,2.8126
45.8,-52.5141,3.7501
45.9,-52.5204,4.0626
46,-52.5141,2.5001
46.1,-52.5016,2.1876
46.2,-52.5016,3.7501
46.3,-52.5016,3.7501
46.4,-52.5079,3.1251
46.5,-52.4954,0.93753
46.6,-52.4891,3.4376
46.7,-52.5016,2.1876
46.8,-52.5016,2.5001
46.9,-52.5079,2.5001
47,-52.4954,2.5001
47.1,-52.4641,2.5001
47.2,-52.4829,1.5625
47.3,-52.4703,3.1251
47.4,-52.4453,2.5001
47.5,-52.4641,2.5001
47.6,-52.4641,2.8126
47.7,-52.4391,0.62502
47.8,-52.4141,1.5625
47.9,-52.4141,2.5001
48,-52.4141,4.0626
48.1,-52.4016,2.1876
48.2,-52.3891,1.8751
48.3,-52.3828,2.8126
48.4,-52.3828,3.4376
48.5,-52.3641,2.8126
48.6,-52.3391,1.25
48.7,-52.3266,1.8751
48.8,-52.3203,2.5001
48.9,-52.3078,2.5001
49,-52.2766,1.5625
49.1,-52.2578,1.8751
49.2,-52.2578,2.1876
49.3,-52.2391,4.0626
49.4,-52.2391,3.1251
49.5,-52.2078,1.5625
49.6,-52.1953,1.8751
49.7,-52.1953,5.0002
49.8,-52.1891,3.1251
49.9,-52.1766,2.5001
50,-52.1703,2.5001
50.1,-52.1703,3.7501
50.2,-52.1703,3.1251
50.3,-52.1578,2.1876
50.4,-52.1641,3.7501
50.5,-52.1453,1.5625
50.6,-52.1578,2.5001
50.7,-52.1391,1.8751
50.8,-52.1453,4.0626
50.9,-52.1328,3.1251
51,-52.1203,0.62502
51.1,-52.1203,3.1251
51.2,-52.1016,0.93753
51.3,-52.0891,2.1876
51.4,-52.0828,3.4376
51.5,-52.0641,2.8126
51.6,-52.0578,1.25
51.7,-52.0516,3.1251
51.8,-52.0578,3.7501
51.9,-52.0453,3.1251
52,-52.0578,3.1251
52.1,-52.0453,3.1251
52.2,-52.0203,1.25
52.3,-52.0266,2.5001
52.4,-52.0328,3.7501
52.5,-52.0141,0.93753
52.6,-51.9953,2.1876
52.7,-51.9891,1.5625
52.8,-51.9828,2.8126
52.9,-51.9578,1.8751
53,-51.9703,4.0626
53.1,-51.9516,1.8751
53.2,-51.9703,3.1251
53.3,-51.9828,4.3751
53.4,-51.9891,3.7501
53.5,-51.9953,1.5625
53.6,-51.9703,0
53.7,-51.9766,3.1251
53.8,-52.0016,3.7501
53.9,-51.9891,1.8751
54,-51.9828,1.25
54.1,-51.9828,3.1251
54.2,-51.9891,1.5625
54.3,-51.9891,2.8126
54.4,-51.9641,0.93753
54.5,-51.9266,0.62502
54.6,-51.9016,1.5625
54.7,-51.9016,0.93753
54.8,-51.8641,2.8126
54.9,-51.8453,1.25
55,-51.8266,2.8126
55.1,-51.8078,1.8751
55.2,-51.7703,2.8126
55.3,-51.7578,2.8126
55.4,-51.7453,3.1251
55.5,-51.7391,3.7501
55.6,-51.7516,2.5001
55.7,-51.7328,3.7501
55.8,-51.7391,2.5001
55.9,-51.7391,3.7501
56,-51.7328,1.8751
56.1,-51.7141,0.93753
56.2,-51.7203,2.5001
56.3,-51.6891,0.31251
56.4,-51.6578,0.31251
56.5,-51.6391,1.8751
56.6,-51.6078,2.8126
56.7,-51.6078,3.4376
56.8,-51.6078,1.25
56.9,-51.6078,4.0626
57,-51.6078,2.8126
57.1,-51.6078,2.5001
57.2,-51.5828,1.25
57.3,-51.5641,1.25
57.4,-51.5641,1.5625
57.5,-51.5578,2.1876
57.6,-51.5453,1.5625
57.7,-51.5328,3.1251
57.8,-51.5266,2.8126
57.9,-51.5328,2.8126
58,-51.5203,1.25
58.1,-51.5141,1.5625
58.2,-51.5016,1.8751
58.3,-51.4578,0.93753
58.4,-51.4141,0.31251
58.5,-51.4203,3.1251
58.6,-51.4203,3.7501
58.7,-51.4078,2.1876
58.8,-51.3578,0.93753
58.9,-51.3578,2.1876
59,-51.3328,1.8751
59.1,-51.3078,1.5625
59.2,-51.2891,1.5625
59.3,-51.2703,2.8126
59.4,-51.2141,1.25
59.5,-51.1828,0.93753
59.6,-51.1703,3.1251
59.7,-51.1516,3.1251
59.8,-51.1328,2.8126
59.9,-51.0953,2.8126
60,-51.0641,1.25
60.1,-51.0328,0.31251
60.2,-51.0016,2.8126
60.3,-50.9641,2.5001
60.4,-50.9453,2.5001
60.5,-50.9016,1.5625
60.6,-50.8703,1.8751
60.7,-50.8453,2.8126
60.8,-50.8578,4.6876
60.9,-50.839,3.1251
61,-50.839,2.8126
61.1,-50.8078,1.5625
61.2,-50.8015,1.25
61.3,-50.7703,1.5625
61.4,-50.7328,1.5625
61.5,-50.739,4.0626
61.6,-50.739,5.0002
61.7,-50.7328,2.5001
61.8,-50.739,2.5001
61.9,-50.7203,2.5001
62,-50.689,0.62502
62.1,-50.6703,4.0626
62.2,-50.6515,1.25
62.3,-50.664,1.8751
62.4,-50.6453,1.8751
62.5,-50.6203,2.5001
62.6,-50.614,2.5001
62.7,-50.614,2.5001
62.8,-50.6203,3.1251
62.9,-50.589,2.1876
63,-50.589,3.7501
63.1,-50.5765,3.1251
63.2,-50.6015,4.3751
63.3,-50.6015,3.1251
63.4,-50.5828,1.25
63.5,-50.5953,2.8126
63.6,-50.5765,1.25
63.7,-50.5703,1.8751
63.8,-50.539,3.1251
63.9,-50.5203,1.25
64,-50.5015,1.8751
64.1,-50.5015,2.5001
64.2,-50.4828,3.7501
64.3,-50.4828,1.8751
64.4,-50.4703,1.8751
64.5,-50.439,1.25
64.6,-50.4203,2.5001
64.7,-50.4015,3.4376
64.8,-50.4015,3.4376
64.9,-50.4015,3.1251
65,-50.3953,2.5001
65.1,-50.3765,1.25
65.2,-50.3578,3.1251
65.3,-50.364,3.1251
65.4,-50.339,1.25
65.5,-50.314,2.5001
65.6,-50.3015,1.25
65.7,-50.3015,3.1251
65.8,-50.3015,3.4376
65.9,-50.314,5.0002
66,-50.3078,4.3751
66.1,-50.3203,1.8751
66.2,-50.3203,2.1876
66.3,-50.3015,0.93753
66.4,-50.289,1.5625
66.5,-50.2765,1.8751
66.6,-50.2453,2.1876
66.7,-50.2015,0.93753
