Show,Cell,Episode,SweepWindow,Drug,DrugTime,WCTime,StimDescription,path,drug_level,has_hyperpolarizing,hyper_start_ms,hyper_end_ms,hyper_amp,depol_start_ms,depol_end_ms,depol_amp,depol_source,after_step_ms,stim_source,voltage_channel,n_spikes_post,first_spike_ms,last_spike_ms,persist_span_ms
1,Neocortex M.16Feb16,S1.E14,50000,,560.01171875,675.66015625,"DAC0: PulseB 200 [1000,3000];",/Volumes/Assets/Edward/Data/Traces/2016/02.February/Data 16 Feb 2016/Neocortex M.16Feb16.S1.E14.dat,1,False,,,,1000.0,3000.0,200.0,pulseB,47000.0,StimulusA,A,316,3244.400003641844,49912.800699055195,46912.800699055195
1,Neocortex M.16Feb16,S1.E17,50000,,928.08203125,1043.73046875,"DAC0: PulseB 200 [1000,3000];",/Volumes/Assets/Edward/Data/Traces/2016/02.February/Data 16 Feb 2016/Neocortex M.16Feb16.S1.E17.dat,1,False,,,,1000.0,3000.0,200.0,pulseB,47000.0,StimulusA,A,278,3259.300003863871,49880.4006985724,46880.4006985724
1,Neocortex M.16Feb16,S1.E23,50000,,1542.5625,1658.2109375,"DAC0: PulseB 200 [1000,3000];",/Volumes/Assets/Edward/Data/Traces/2016/02.February/Data 16 Feb 2016/Neocortex M.16Feb16.S1.E23.dat,1,False,,,,1000.0,3000.0,200.0,pulseB,47000.0,StimulusA,A,340,3196.300002925098,49905.50069894642,46905.50069894642
1,Neocortex M.22Sep16,S1.E7,40000,2uM CCh,395.1640625,451.15234375,"DAC0: PulseB 300 [1000,3000];",/Volumes/Assets/Edward/Data/Traces/2016/09.September/Data 22 Sep 2016/Neocortex M.22Sep16.S1.E7.dat,1,False,,,,1000.0,3000.0,300.0,pulseB,37000.0,StimulusA,A,149,3528.800007879734,39814.90054858476,36814.90054858476
1,Neocortex M.22Sep16,S1.E8,40000,2uM CCh,464.40234375,520.390625,"DAC0: PulseB 300 [1000,3000];PulseC 300 [6000,8000];",/Volumes/Assets/Edward/Data/Traces/2016/09.September/Data 22 Sep 2016/Neocortex M.22Sep16.S1.E8.dat,1,False,,,,1000.0,3000.0,300.0,pulseB,37000.0,StimulusA,A,133,3642.0000095665455,39934.80055037141,36934.80055037141
1,Neocortex M.22Sep16,S1.E9,40000,2uM CCh,547.36328125,603.3515625,"DAC0: PulseB 300 [1000,3000];",/Volumes/Assets/Edward/Data/Traces/2016/09.September/Data 22 Sep 2016/Neocortex M.22Sep16.S1.E9.dat,1,False,,,,1000.0,3000.0,300.0,pulseB,37000.0,StimulusA,A,158,3000.4000000059605,39849.00054909289,36849.00054909289
1,Neocortex M.22Sep16,S1.E10,40000,2uM CCh,618.32421875,674.3125,"DAC0: PulseB 300 [1000,3000];PulseC 300 [6000,8000];",/Volumes/Assets/Edward/Data/Traces/2016/09.September/Data 22 Sep 2016/Neocortex M.22Sep16.S1.E10.dat,1,False,,,,1000.0,3000.0,300.0,pulseB,37000.0,StimulusA,A,135,3589.4000087827444,39760.700547777116,36760.700547777116
1,Neocortex M.22Sep16,S1.E11,40000,2uM CCh,690.17578125,746.1640625,"DAC0: PulseB 300 [1000,3000];",/Volumes/Assets/Edward/Data/Traces/2016/09.September/Data 22 Sep 2016/Neocortex M.22Sep16.S1.E11.dat,1,False,,,,1000.0,3000.0,300.0,pulseB,37000.0,StimulusA,A,118,3573.3000085428357,39965.900550834835,36965.900550834835
1,Neocortex M.22Sep16,S1.E12,40000,2uM CCh,760.8671875,816.85546875,"DAC0: PulseB 300 [1000,3000];PulseC 300 [6000,8000];",/Volumes/Assets/Edward/Data/Traces/2016/09.September/Data 22 Sep 2016/Neocortex M.22Sep16.S1.E12.dat,1,False,,,,1000.0,3000.0,300.0,pulseB,37000.0,StimulusA,A,121,3581.9000086709857,39930.10055030137,36930.10055030137
1,Neocortex N.25Mar16,S1.E11,40000,,472.96875,826.76953125,"DAC0: PulseB 300 [1000,3000];",/Volumes/Assets/Edward/Data/Traces/2016/03.March/Data 25 Mar 2016/Neocortex N.25Mar16.S1.E11.dat,1,False,,,,1000.0,3000.0,300.0,pulseB,37000.0,StimulusA,A,118,3930.7000138685107,24200.300315909088,21200.300315909088
1,Neocortex O.22Sep16,S1.E4,40000,2uM CCh,476.7109375,504.4765625,"DAC0: PulseB 200 [1000,3000];",/Volumes/Assets/Edward/Data/Traces/2016/09.September/Data 22 Sep 2016/Neocortex O.22Sep16.S1.E4.dat,1,False,,,,1000.0,3000.0,200.0,pulseB,37000.0,StimulusA,A,134,3489.5000072941184,39735.20054739714,36735.20054739714
1,Neocortex O.22Sep16,S1.E6,40000,2uM CCh,749.4921875,777.2578125,"DAC0: PulseB 200 [1000,3000];",/Volumes/Assets/Edward/Data/Traces/2016/09.September/Data 22 Sep 2016/Neocortex O.22Sep16.S1.E6.dat,1,False,,,,1000.0,3000.0,200.0,pulseB,37000.0,StimulusA,A,65,3948.5000141337514,39851.50054913014,36851.50054913014
